Projeto;Autor;Autor_isolado;Ementa;Assunto;Indicado_por;Quem_avaliou;Qual_avaliacao;Tem_outros_autores;Situacao;Analise
PL 4059/2012;Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural;#VALOR!;Regulamenta o art. 190, da Constituição Federal, altera o art. 1º, da Lei nº 4.131, de 3 de setembro de 1962, o art. 1º da Lei nº 5.868, de 12 de dezembro de 1972 e o art. 6º Lei nº 9.393, de 19 de dezembro de 1996 e dá outras providências.;Aquisição de terras por estrangeiros (Critérios de aquisição de áreas rurais e suas utilizações, por pessoas físicas e jurídicas estrangeiras);Contag e Fase;Contag e Fase;Desfavorável;;;
PL 7780/2017;CPI Funai e Incra;CPI FUNAI E INCRA;Altera a Lei nº 8.629, de 25 de fevereiro de 1993, para que as atividades do Incra em imóveis que se pretende destinar à reforma agrária somente sejam permitidas, em caso de disputa judicial sobre o bem, após a imissão na posse por decisão colegiada.;Só permite desapropriação de lotes para reforma agrária, após autorização judicial de órgão colegiado;Contag;Contag;Desfavorável;;;
PL 7779/2017;CPI Funai e Incra;CPI FUNAI E INCRA;Altera o Código Penal para tipificar expressamente a transmissão irregular de lotes da Reforma Agrária;Criminaliza troca de lotes da reforma agrária;Contag;Contag;Desfavorável;;;
PL 334/2015;Marco Tebaldi (PSDB/SC);MARCO TEBALDI;Altera o art. 4º da Lei nº 1283 de 18 de dezembro de 1.950, regulamentado pelo decreto nº 30.691 de 29 de março de 1952, que dispõe sobre a inspeção industrial e sanitária dos produtos de origem animal, e dá outras providências.;Permite que Estados e Municípios realizem a inspeção sanitária de produtos de origem animal.;Contag;Contag;Favorável;;;
PL 3200/2015;Covatti Filho (PP/RS);COVATTI FILHO;Dispõe sobre a Política Nacional de Defensivos Fitossanitários e de Produtos de Controle Ambiental, seus Componentes e Afins, bem como sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de defensivos fitossanitários e de produtos de controle ambiental, seus componentes e afins, e dá outras providências.;plano nacional de apoio aos agrotóxicos. cria outro nome para agrotóxicos e facilita a liberação dos venenos;Contag;Contag;Desfavorável;;;
PL 3615/2012;Padre João (PT/MG);PADRE JOÃO;Acrescenta dispositivo à Lei nº 7.802, de 11 de julho de 1989, para obrigar as empresas de aviação agrícola a enviar cópias de prescrições de agrotóxicos e relatórios anuais aos órgãos competentes.;Regras para pulverização aérea;Contag;Contag;Favorável;;;
PL 3986/2000;Dr. Rosinha (PT/PR);DR. ROSINHA;Dispõe sobre a notificação compulsória dos casos de intoxicação por agrotóxicos.;Alertas para intoxicação agrotóxica;Contag;Contag;Favorável;;;
MP 793/2017;Poder Executivo;#VALOR!;Institui o Programa de Regularização Tributária Rural junto à Secretaria da Receita Federal do Brasil e à Procuradoria-Geral da Fazenda Nacional.;Anistia às empresas rurais que estão devendo para a Receita;Contag;Contag;Desfavorável;;;
PL 8107/2017;Poder Executivo;PODER EXECUTIVO;Altera os limites da Floresta Nacional do Jamanxim e cria a Área de Proteção Ambiental do Jamanxim, localizadas no Município de Novo Progresso, Estado do Pará.;Diminui a área de preservação da Floresta Nacional do Jamanxin;Contag;Contag;Desfavorável;;;
PL 792/2007;Anselmo de Jesus (PT/RO);ANSELMO DE JESUS;Dispõe sobre a definição de serviços ambientais e dá outras providências.;Definição de serviços ambientais e auxílio monetário a quem o faz;Contag e ISA;Contag e ISA;Favorável;;;
PL 6442/2016;Nilson Leitão (PSDB/MT);NILSON LEITÃO;Institui normas reguladoras do trabalho rural e dá outras providências. Explicação: Revoga a Lei nº 5.889, de 1973 e a Portaria nº 86, de 2005.;Altera todas as normas regulamentadora do trabalho rural;Contag e ISA;Contag e ISA;Desfavorável;;;
PL 827/2015;Dilceu Sperafico (PP/PR);DILCEU SPERAFICO;Altera a Lei nº 9.456, de 25 de abril de 1997, que institui a Lei de Proteção de Cultivares e dá outras providências.;Altera regras de propriedade intelectual de variedade de plantas e sementes;Contag, ISA e CPT;Contag, ISA e CPT;Desfavorável;;;
PEC 287/2016;Poder Executivo;#VALOR!;Altera os arts. 37, 40, 109, 149, 167, 195, 201 e 203 da Constituição, para dispor sobre a seguridade social, estabelece regras de transição e dá outras providências;Reforma da Previdência;Contag, Cimi e CPT;Contag;Desfavorável;;;
PDC 118/2015;Adilton Sachetti (PSB/MT)                                                                                                                   ;ADILTON SACHETTI;Autoriza, nos termos do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, mediante realização prévia dos Estudos de Viabilidade Técnica, Econômica e Ambiental - EVTEA, dos projetos de engenharia e dos demais Estudos Ambientais, na hidrovia do Rio Paraguai, localizada no trecho da foz rio Apa, no Estado do Mato Grosso do Sul, até a cidade de Cáceres, no Estado do Mato Grosso.;Uso dos recursos hídricos na hidrovia do Rio Paraguai;Cimi;Cimi e ISA;Desfavorável;;;
PDC 119/2015;Adilton Sachetti (PSB/MT)                                                                                                                   ;ADILTON SACHETTI;Autoriza, nos termo do § 3º do art. 231 da Constituição Federal, o aproveitamento dos recursos hídricos, mediante realização prévia dos Estudos de Viabilidade Técnica, Econômica e Ambiental - EVTEA, dos projetos de engenharia e dos demais Estudos Ambientais, na hidrovia do Rio Tapajós, localizada no trecho da sua foz, no rio Amazonas, no Estado do Pará, até à confluência dos rios Juruena e Teles Pires, na divisa dos Estados do Pará, Amazonas e Mato Grosso, na hidrovia do Rio Teles Pires, localizada entre a confluência com o rio Juruena, no Estado do Pará, até à foz do rio Verde, no município de Sinop, no Estado do Mato Grosso e na hidrovia do Rio Juruena, localizada entre a confluência com o rio Teles Pires, no Estado do Pará, até o município de Juína, no Estado do Mato Grosso.;Uso dos recursos hídricos nas hidrovias dos rios Tapajós, Teles Pires e Juruena;Cimi e ISA;Cimi e ISA;Desfavorável;;;
