Projeto,Data_votacao,Partido_na_data_votacao,Deputado,UF,Voto,Avaliado_por,Avaliacao,Relevancia,Nome_consulta
MPV 688/2015,10/11/15,DEM,Alberto Fraga,DF,Não,Greenpeace,Desfavorável,Pouco relevante,ALBERTO FRAGA
MPV 688/2015,10/11/15,DEM,Alexandre Leite,SP,Não,Greenpeace,Desfavorável,Pouco relevante,ALEXANDRE LEITE
MPV 688/2015,10/11/15,DEM,Claudio Cajado,BA,Não,Greenpeace,Desfavorável,Pouco relevante,CLAUDIO CAJADO
MPV 688/2015,10/11/15,DEM,Efraim Filho,PB,Não,Greenpeace,Desfavorável,Pouco relevante,EFRAIM FILHO
MPV 688/2015,10/11/15,DEM,Felipe Maia,RN,Não,Greenpeace,Desfavorável,Pouco relevante,FELIPE MAIA
MPV 688/2015,10/11/15,DEM,Hélio Leite,PA,Não,Greenpeace,Desfavorável,Pouco relevante,HÉLIO LEITE
MPV 688/2015,10/11/15,DEM,Jorge Tadeu Mudalen,SP,Não,Greenpeace,Desfavorável,Pouco relevante,JORGE TADEU MUDALEN
MPV 688/2015,10/11/15,DEM,José Carlos Aleluia,BA,Não,Greenpeace,Desfavorável,Pouco relevante,JOSÉ CARLOS ALELUIA
MPV 688/2015,10/11/15,DEM,Mandetta,MS,Não,Greenpeace,Desfavorável,Pouco relevante,MANDETTA
MPV 688/2015,10/11/15,DEM,Marcelo Aguiar,SP,Não,Greenpeace,Desfavorável,Pouco relevante,MARCELO AGUIAR
MPV 688/2015,10/11/15,DEM,Mendonça Filho,PE,Não,Greenpeace,Desfavorável,Pouco relevante,MENDONÇA FILHO
MPV 688/2015,10/11/15,DEM,Misael Varella,MG,Não,Greenpeace,Desfavorável,Pouco relevante,MISAEL VARELLA
MPV 688/2015,10/11/15,DEM,Moroni Torgan,CE,Não,Greenpeace,Desfavorável,Pouco relevante,MORONI TORGAN
MPV 688/2015,10/11/15,DEM,Pauderney Avelino,AM,Não,Greenpeace,Desfavorável,Pouco relevante,PAUDERNEY AVELINO
MPV 688/2015,10/11/15,DEM,Paulo Azi,BA,Não,Greenpeace,Desfavorável,Pouco relevante,PAULO AZI
MPV 688/2015,10/11/15,DEM,Professora Dorinha Seabra Rezende,TO,Não,Greenpeace,Desfavorável,Pouco relevante,PROFESSORA DORINHA SEABRA REZENDE
MPV 688/2015,10/11/15,DEM,Rodrigo Maia,RJ,Não,Greenpeace,Desfavorável,Pouco relevante,RODRIGO MAIA
MPV 688/2015,10/11/15,PCdoB,Alice Portugal,BA,Sim,Greenpeace,Desfavorável,Pouco relevante,ALICE PORTUGAL
MPV 688/2015,10/11/15,PCdoB,Angela Albino,SC,Sim,Greenpeace,Desfavorável,Pouco relevante,ANGELA ALBINO
MPV 688/2015,10/11/15,PCdoB,Carlos Eduardo Cadoca,PE,Sim,Greenpeace,Desfavorável,Pouco relevante,CARLOS EDUARDO CADOCA
MPV 688/2015,10/11/15,PCdoB,Chico Lopes,CE,Sim,Greenpeace,Desfavorável,Pouco relevante,CHICO LOPES
